OID,Year,Date,ID,UTMEast,UTMNorth,Sex,Weight,SVL,TailLength,TotalLength,TailStatus,ReproStatus,#FolliclesOrEggs
2,2004,2004-10-12,12Oct04.01,530923,2806709,Male,,,,,,,
4,2006,2006-09-13,13Sep06.01,519027,2807146,Female,,,,,,,
8,2007,2007-03-24,24Mar07.01,517307,2849303,Female,,,,,,,
12,2008,2008-11-08,08Nov08.01,521952,2813389,Female,,,,,,,
13,2008,2008-11-11,11Nov08.01,541942,2808671,Female,,,,,,,
15,2008,2008-11-24,24Nov08.01,508576,2782157,Female,,,,,,,
18,2009,2009-01-21,16Dec16.01,532897,2844121,Male,,,,,,,
20,2009,2009-01-22,16Dec16.10,555337,2799802,,,,,,,,
22,2009,2009-03-20,16Dec16.07,518463,2849337,Male,,,,,,,
24,2009,2009-04-13,16Dec16.03,526678,2849339,Female,,,,,,,
28,2009,2009-05-05,02May09.01,530979,2849358,Female,,,,,,,
30,2009,2009-05-14,14May09.01,552854,2812413,,,,,,,,
32,2009,2009-05-14,14May09.02,552854,2812413,Female,,,,,,,
34,2009,2009-05-26,26May09.01,519027,2807146,Male,,,,,,,
35,2009,2009-06-11,11Jun09.01,519027,2807146,,,,,,,,
37,2009,2009-06-22,22Jun09.01,526312,2849361,Male,,,,,,,
39,2009,2009-08-01,16Dec16.08,553955,2806728,,,,,,,,
41,2009,2009-08-06,16Dec16.05,518988,2791490,Male,,,,,,,
43,2009,2009-08-09,09Aug09.01,546513,2837329,,,,,,,,
47,2009,2009-08-23,16Dec16.09,535919,2849260,Male,,,,,,,
51,2009,2009-09-12,16Dec16.04,519027,2807146,Female,,,,,,,
53,2009,2009-09-13,13Sep09.01,519027,2807146,Male,,,,,,,
55,2009,2009-10-09,09Oct09.01,552881,2812180,,,,,,,,
57,2009,2009-10-11,16Dec16.06,552676,2806545,Female,,,,,,,
59,2009,2009-11-06,06Nov09.01,519027,2807146,Female,,,,,,,
61,2010,2010-06-18,16Dec16.02,520215,2792479,Female,,,,,,,
68,2013,2013-06-10,10Jun13.01,516321,2850290,Female,,,,,,,
70,2013,2013-06-19,19Jun13.01,552050,2839489,,,,,,,,
72,2013,2013-07-07,07Jul13.01,538482,2809083,Male,,,,,,,
74,2013,2013-07-26,26Jul13.01,514269,2788326,Female,,,,,,,
76,2013,2013-07-26,26Jul13.02,514269,2788326,Female,,,,,,,
78,2013,2013-07-26,26Jul13.03,514269,2788326,Female,,,,,,,
80,2013,2013-07-26,26Jul13.04,514269,2788326,Male,,,,,,,
82,2013,2013-07-26,26Jul13.05,514269,2788326,Female,,,,,,,
84,2013,2013-07-26,26Jul13.06,514269,2788326,Male,,,,,,,
86,2013,2013-07-26,26Jul13.07,514269,2788326,Male,,,,,,,
88,2013,2013-07-26,26Jul13.08,514269,2788326,Female,,,,,,,
90,2013,2013-08-05,05Aug13.01,530665,2807092,Female,,,,,,,
100,2013,2013-08-15,15Aug13.01,543420,2832391,Male,,,,,,,
102,2013,2013-08-16,16Aug13.01,542547,2835544,Male,,,,,,,
104,2013,2013-08-17,17Aug13.01,542590,2834384,,,,,,,,
106,2013,2013-08-17,17Aug13.02,542681,2831922,Male,,,,,,,
108,2013,2013-08-17,19Aug13.01,542663,2832440,Female,,,,,,,
110,2013,2013-08-21,21Aug13.01,542605,2834186,Male,,,,,,,
112,2013,2013-08-23,23Aug13.01,519027,2807146,Female,,,,,,,
114,2013,2013-08-26,26Aug13.01,542678,2832388,Male,316,89.5,,,,,
116,2013,2013-08-31,31Aug13.01,542678,2827541,Female,195,74.6,,,,,
118,2013,2013-09-08,08Sep13.01,542043,2833289,,,,,,,,
127,2013,2013-10-30,30Oct13.01,520723,2809156,Male,,,,,,,
129,2013,2013-11-05,05Nov13.01,542667,2832382,Male,,,,,,,
130,2013,2013-11-05,05Nov13.02,519027,2807146,Female,,,,,,,
132,2013,2013-11-11,11Nov13.01,490784,2860526,Male,,,,,,,
134,2013,2013-11-14,14Nov13.01,564532,2785904,Male,,,,,,,
135,2013,2013-11-18,05Nov13.01,,,Male,605,93.5,13.0,106.5,,Undeveloped,
136,2013,2013-11-14,14Nov13.01,,,Male,,147.0,21.5,168.5,,,
137,2013,2013-11-18,30Oct13.01,,,Male,200,81.5,10.0,91.5,,Undeveloped,
139,2013,2013-12-03,03Dec13.01,523501,2848989,Female,,,,,,,
140,2013,2013-12-07,07Dec13.01,542994,2832018,Male,,215.5,24.9,240.4,,,
143,2013,2013-12-25,11Mar14.02,542043,2833289,Male,,,,,,,
145,2013,2013-12-27,03Jan14.01,542043,2833289,Male,,,,,,,
147,2013,2013-12-27,25Dec13.01,532807,2846728,Male,,,,,,,
149,2013,2013-12-27,27Dec13.01,532933,2843192,Male,,,,,,,
151,2014,2014-01-02,02Jan14.01,519027,2807146,Female,,,,,,,
153,2014,2014-01-02,02Jan14.02,446670,2872127,Male,,,,,,,
158,2013,2013-12-11,03Dec13.01,,,Female,6595,229.0,29.5,258.5,,Secondary,
160,2014,2014-01-14,14Jan14.01,519027,2807146,Male,,,,,,,
170,2014,2014-01-03,27Dec13.01,,,Male,7870,236.5,38.5,275.0,,,
171,2014,2014-01-14,14Jan14.01,,,Male,27000,285.0,45.0,330.0,,,
177,2014,2014-01-03,25Dec13.01,,,Male,4478,191.5,26.5,218.0,,,
179,2014,2014-01-19,19Jan14.01,490431,2779189,Female,,,,,,,
182,2014,2014-01-21,19Jan14.01,,,Female,1334,114.0,16.5,130.5,,Undeveloped,
184,2014,2014-01-21,22Jan14.01,507850,2783384,Male,,,,,,,
185,2014,2014-01-23,22Jan14.01,,,Male,5750,253.5,30.0,283.5,,,
187,2014,2014-01-28,28Jan14.01,515789,2850843,,,,,,,,
189,2014,2014-01-29,29Jan14.01,512687,2785735,Male,,,,,,,
191,2014,2014-01-29,29Jan14.02,512687,2785735,Female,,,,,,,
193,2014,2014-02-02,02Feb14.01,519027,2807146,Male,,,,,,,
195,2014,2014-02-02,02Feb14.02,519027,2807146,Male,,,,,,,
196,2014,2014-02-04,19Mar15.02,434931,2877085,Female,,,,,,,
199,2014,2014-02-07,07Feb14.01,496593,2860473,Male,,,,,,,
200,2013,2013-11-11,11Nov13.01,,,Male,5676,209.0,33.0,242.0,,,
201,2014,2014-02-14,14Feb14.01,,,Male,4126,177.0,26.5,203.5,Intact,,
203,2014,2014-01-29,29Jan14.01,,,Male,8746,225.0,32.0,257.0,,,
204,2014,2014-01-29,29Jan14.02,,,Female,13804,238.0,36.5,274.5,,,28
206,2014,2014-02-16,16Feb14.01,532765,2847854,Male,,,,,,,
209,2014,2014-02-20,20Feb14.01,520280,2796336,Male,,,,,,,
210,2014,2014-02-02,02Feb14.01,,,Male,10874,240.0,36.5,276.5,,,
211,2014,2014-02-24,24Feb14.01,,,Male,,,,,Intact,Flaccid,
212,2014,2014-02-24,24Feb14.01,519027,2807146,Male,,,,,,,
213,2014,2014-02-27,20Feb14.01,,,Male,5362,178.5,27.0,205.5,,,
214,2013,2013-08-23,23Aug13.01,,,Female,2162,,,,,Undeveloped,
215,2014,2014-02-27,27Feb14.01,,,Male,7928,198.5,31.5,230.0,,,
216,2014,2014-02-27,27Feb14.01,519027,2807146,Male,,,,,,,
217,2014,2014-02-27,28Jan14.01,,,,2406,,,,,,
219,2009,2009-05-14,14May09.01,,,,4688,175.0,26.5,201.5,,,
220,2009,2009-05-14,14May09.02,,,Female,992,109.0,15.0,124.0,,Undeveloped,
221,2014,2014-01-03,02Jan14.01,,,Female,3904,169.0,23.0,192.0,,Undeveloped,
222,2013,2013-08-05,05Aug13.01,,,Female,4588,222.5,32.5,255.0,,,
223,2009,2009-10-09,09Oct09.01,,,,15612,234.0,35.0,269.0,,,
225,2014,2014-01-03,03Jan14.01,,,Male,10630,235.0,20.5,255.5,Broken,,
226,2013,2013-07-07,07Jul13.01,,,Male,112,57.5,8.0,65.5,,Undeveloped,
229,2014,2014-01-03,11Mar14.02,,,Male,338,84.0,12.0,96.0,,Undeveloped,
230,2013,2013-06-19,19Jun13.01,,,,1942,162.0,,,,,
237,2014,2014-03-22,22Mar14.02,519027,2807146,Male,,,,,,,
247,2014,2014-03-31,31Mar14.01,523426,2837820,Male,,,,,,,
265,2014,2014-04-08,09Apr14.01,541254,2821243,Male,,,,,,,
266,2009,2009-05-05,02May09.01,,,Female,1168,116.5,17.5,134.0,Intact,Undeveloped,
267,2009,2009-09-02,02Sep09.01,,,Female,1588,146.0,20.0,166.0,Intact,Undeveloped,
268,2014,2014-04-08,09Apr14.01,,,Male,6604,201.0,34.5,235.5,Intact,Flaccid,
269,2009,2009-08-21,21Aug09.01,,,Female,6144,213.5,29.5,243.0,Intact,Primary,1
283,2014,2014-04-13,14Apr14.01,514632,2788594,Female,,,,,,,
292,2014,2014-04-15,02Feb14.02,,,Male,9208,226.0,20.5,246.5,Broken,Turgid,
293,2007,2007-02-08,08Feb07.01,,,Male,8646,237.0,35.0,272.0,Intact,Turgid,
294,2014,2014-04-14,14Apr14.01,,,Female,3710,183.0,25.0,208.0,Intact,Primary,
296,2014,2014-04-15,15Apr14.01,,,Female,7118,228.5,31.0,259.5,Intact,Primary,
304,2014,2014-04-15,15Apr14.05,542694,2831597,Male,,,,,,,
307,2010,2010-06-19,19Jun10.01,,,Male,3848,186.0,28.0,214.0,Intact,Flaccid,
308,2007,2007-03-24,24Mar07.01,,,Female,674,108.0,15.0,123.0,Intact,Undeveloped,
309,2008,2008-11-24,24Nov08.01,,,Female,362,81.5,11.5,93.0,Intact,,
310,2014,2014-04-14,31Mar14.01,,,Male,5996,236.5,36.0,272.5,Intact,Flaccid,
314,2014,2014-04-16,16Apr14.02,545287,2832406,Female,,,,,,,
316,2014,2014-04-17,17Apr14.01,542541,2835883,Male,,,,,,,
326,2014,2014-04-21,15Apr14.05,,,Male,4930,212.0,33.0,245.0,Intact,,
327,2014,2014-04-21,16Apr14.02,,,Female,854,112.0,15.0,127.0,Intact,Undeveloped,
328,2014,2014-04-21,17Apr14.01,,,Male,1124,117.5,16.5,134.0,Intact,,
330,2014,2014-04-26,26Apr14.01,510167,2785022,Male,,,,,,,
333,2014,2014-04-28,28Apr14.01,553077,2806543,Female,,,,,,,
336,2014,2014-04-30,30Apr14.01,542783,2832382,Female,,,,,,,
338,2014,2014-04-30,30Apr14.02,507525,2780912,Female,,,,,,,
339,2014,2014-05-01,01May14.01,,,Female,15232,256.0,38.0,294.0,Intact,Secondary,
341,2009,2009-11-06,06Nov09.01,,,Female,5900,208.0,28.0,236.0,Intact,Primary,8
342,2013,2013-06-10,10Jun13.01,,,Female,7232,217.0,29.5,246.5,Intact,,
343,2008,2008-11-11,11Nov08.01,,,Female,388,84.0,12.0,96.0,Intact,,
374,2014,2014-05-08,26Apr14.01,,,Male,8346,254.0,35.0,289.0,Intact,Flaccid,
375,2014,2014-05-08,28Apr14.01,,,Female,862,113.5,15.5,129.0,Intact,Undeveloped,
376,2014,2014-05-08,30Apr14.01,,,Female,2492,160.0,22.0,182.0,Intact,Undeveloped,
377,2014,2014-05-08,30Apr14.02,,,Female,6316,229.0,31.0,260.0,Intact,,
379,2014,2014-05-10,10May14.01,538005,2806511,Female,,,,,,,
382,2014,2014-05-14,14May14.01,542537,2836005,Male,,,,,,,
383,2014,2014-05-13,10May14.01,,,Female,3918,185.0,25.0,210.0,Intact,,
397,2014,2014-05-27,27May14.01,521757,2813785,Female,,,,,,,
399,2014,2014-05-28,28May14.01,514503,2788492,Female,,,,,,,
401,2014,2014-05-28,28May14.02,515518,2851129,Male,,,,,,,
402,2014,2014-05-27,27May14.01,,,Female,18770,,39.0,,Intact,,
404,2014,2014-06-04,04Jun14.01,520305,2793184,Female,,,,,,,
407,2014,2014-06-04,04Jun14.01,,,Female,7788,224.0,30.0,254.0,Intact,,
